customer_id,age,gender,satisfaction_score,nps_score,product_quality,customer_service,delivery_speed,value_for_money,would_recommend,purchase_frequency,total_purchases
CUST00001,35,Prefer not to say,3,3.0,2,4,5,4,Yes,Rarely,6
CUST00002,24,Other,2,9.0,5,1,3,2,Maybe,Weekly,28
CUST00003,18,Male,2,10.0,5,5,2,2,No,Rarely,45
CUST00004,50,Female,4,1.0,2,3,2,5,Maybe,Rarely,26
CUST00005,18,Female,5,1.0,2,5,3,2,No,Rarely,28
CUST00006,41,Female,2,7.0,2,4,4,3,No,Daily,40
CUST00007,21,Male,5,7.0,2,2,1,3,Yes,Daily,15
CUST00008,21,Other,1,9.0,1,3,1,3,No,Daily,6
CUST00009,35,Female,2,5.0,5,4,2,3,Maybe,Quarterly,27
CUST00010,44,Male,2,4.0,1,3,2,5,Maybe,Weekly,38
CUST00011,60,Prefer not to say,4,7.0,4,5,2,4,No,Daily,4
CUST00012,49,Female,5,3.0,4,1,3,3,Yes,Rarely,11
CUST00013,50,Female,2,10.0,5,4,4,2,No,Rarely,21
CUST00014,45,Other,2,3.0,4,2,1,3,Maybe,Rarely,30
CUST00015,59,Female,4,4.0,2,5,5,5,Maybe,Rarely,18
CUST00016,58,Female,4,0.0,1,4,3,2,No,Monthly,35
CUST00017,72,Prefer not to say,5,0.0,2,2,1,3,No,Quarterly,3
CUST00018,53,Male,1,1.0,4,4,4,4,No,Weekly,12
CUST00019,23,Male,1,7.0,1,5,3,2,Maybe,Weekly,27
CUST00020,33,Other,3,6.0,2,4,1,2,Maybe,Daily,30
CUST00021,150,Prefer not to say,2,9.0,5,3,3,4,Maybe,Monthly,21
CUST00022,0,Male,5,8.0,2,5,1,2,Yes,Weekly,38
CUST00023,0,Prefer not to say,2,4.0,4,4,1,3,Maybe,Quarterly,21
CUST00024,-5,Male,5,1.0,1,1,4,2,Maybe,Rarely,38
CUST00025,150,Prefer not to say,5,6.0,5,4,5,3,Yes,Daily,40
CUST00026,0,Other,5,7.0,1,3,4,4,Yes,Quarterly,15
CUST00027,66,Female,2,6.0,5,2,1,1,Yes,Weekly,18
CUST00028,30,Other,4,6.0,1,2,3,4,Yes,Monthly,29
CUST00029,73,Male,2,4.0,4,2,4,3,Yes,Daily,48
CUST00030,35,Other,5,1.0,5,1,5,5,Yes,Weekly,38
CUST00031,71,Female,3,5.0,3,3,1,4,No,Daily,21
CUST00032,30,Other,1,3.0,1,5,4,5,No,Weekly,17
CUST00033,66,Male,5,9.0,1,2,4,5,No,Rarely,41
CUST00034,54,Male,3,1.0,2,3,4,3,No,Monthly,18
CUST00035,60,Other,4,8.0,5,4,4,3,Maybe,Rarely,37
CUST00036,56,Female,5,6.0,3,1,3,1,Yes,Weekly,38
CUST00037,59,Other,3,5.0,4,3,5,2,Maybe,Quarterly,12
CUST00038,34,Female,5,4.0,2,3,5,4,Yes,Rarely,11
CUST00039,32,Prefer not to say,2,2.0,3,5,1,3,Yes,Quarterly,48
CUST00040,35,Female,3,9.0,5,3,2,4,Maybe,Weekly,49
CUST00041,40,Prefer not to say,2,9.0,3,5,3,5,No,Monthly,20
CUST00042,71,Other,2,3.0,1,1,1,2,Maybe,Quarterly,9
CUST00043,68,Female,3,2.0,1,1,1,1,Maybe,Weekly,1
CUST00044,47,Prefer not to say,1,10.0,2,4,4,4,Yes,Quarterly,3
CUST00045,51,Prefer not to say,3,7.0,5,5,2,2,Yes,Rarely,21
CUST00046,21,Prefer not to say,1,2.0,5,5,2,1,Yes,Weekly,23
CUST00047,20,Male,5,6.0,3,2,3,4,No,Rarely,9
CUST00048,24,Other,5,6.0,2,2,2,2,Maybe,Daily,19
CUST00049,73,Prefer not to say,3,6.0,5,4,1,3,Maybe,Weekly,45
CUST00050,35,Female,5,6.0,1,1,2,4,No,Quarterly,46
CUST00051,59,Prefer not to say,4,1.0,3,2,2,2,Maybe,Daily,19
CUST00052,24,Male,2,9.0,4,3,5,1,Maybe,Rarely,23
CUST00053,57,Other,2,2.0,1,1,1,2,Yes,Rarely,27
CUST00054,23,Male,1,9.0,2,3,2,3,No,Quarterly,27
CUST00055,39,Male,5,8.0,5,5,2,4,Yes,Daily,39
CUST00056,18,Male,1,2.0,1,1,4,4,No,Monthly,36
CUST00057,21,Female,2,1.0,4,4,2,4,Yes,Quarterly,12
CUST00058,63,Other,2,8.0,4,5,2,3,Maybe,Rarely,27
CUST00059,66,Other,5,9.0,2,5,5,1,No,Weekly,46
CUST00060,69,Female,4,8.0,1,3,1,4,No,Daily,34
CUST00061,67,Other,4,3.0,3,5,3,1,Yes,Monthly,33
CUST00062,60,Male,5,8.0,1,2,1,2,No,Weekly,28
CUST00063,46,Other,5,2.0,4,1,4,1,Maybe,Daily,31
CUST00064,38,Female,1,6.0,2,2,1,1,Maybe,Quarterly,32
CUST00065,43,Male,5,6.0,2,3,2,4,Maybe,Quarterly,20
CUST00066,31,Female,4,10.0,3,3,4,5,Yes,Daily,40
CUST00067,26,Prefer not to say,5,7.0,2,1,1,5,No,Monthly,35
CUST00068,64,Male,1,9.0,2,5,4,3,Yes,Daily,31
CUST00069,29,Male,1,3.0,2,4,3,3,Maybe,Weekly,31
CUST00070,59,Other,1,2.0,2,3,1,5,No,Weekly,38
CUST00071,68,Male,1,2.0,2,1,2,2,Maybe,Quarterly,22
CUST00072,73,Female,3,4.0,4,4,4,4,No,Daily,45
CUST00073,68,Other,5,10.0,1,5,5,4,No,Quarterly,41
CUST00074,23,Prefer not to say,2,0.0,5,3,4,2,Yes,Monthly,9
CUST00075,37,Female,5,9.0,2,1,5,2,No,Weekly,9
CUST00076,41,Prefer not to say,3,2.0,5,1,2,5,Maybe,Rarely,15
CUST00077,44,Prefer not to say,1,5.0,5,1,3,3,No,Rarely,13
CUST00078,55,Prefer not to say,3,2.0,4,3,5,2,Maybe,Daily,22
CUST00079,25,Male,4,4.0,2,4,3,3,Yes,Daily,16
CUST00080,18,Female,4,8.0,5,1,4,1,Maybe,Rarely,32
CUST00081,71,Female,5,1.0,2,5,2,4,No,Daily,2
CUST00082,66,Male,5,10.0,3,1,5,5,Maybe,Weekly,26
CUST00083,66,Other,2,1.0,3,4,4,4,Maybe,Monthly,14
CUST00084,41,Prefer not to say,2,5.0,3,3,1,5,No,Monthly,38
CUST00085,64,Female,4,5.0,5,1,4,1,Maybe,Quarterly,34
CUST00086,24,Male,1,10.0,3,1,3,4,No,Weekly,8
CUST00087,36,Prefer not to say,3,10.0,4,5,2,1,Yes,Daily,36
CUST00088,39,Other,2,7.0,4,5,2,5,Maybe,Daily,21
CUST00089,74,Other,2,10.0,5,1,4,2,Yes,Quarterly,46
CUST00090,72,Prefer not to say,1,1.0,2,1,1,4,Maybe,Quarterly,43
CUST00091,52,Other,1,8.0,1,5,3,1,Maybe,Daily,28
CUST00092,47,Female,5,1.0,2,4,4,4,Yes,Daily,46
CUST00093,46,Female,3,0.0,2,2,4,4,Maybe,Weekly,44
CUST00094,39,Female,1,9.0,2,2,2,4,Maybe,Quarterly,48
CUST00095,28,Other,2,1.0,2,1,3,3,Yes,Weekly,6
CUST00096,37,Female,2,6.0,1,5,1,1,Maybe,Daily,20
CUST00097,46,Male,4,7.0,3,3,2,1,No,Rarely,31
CUST00098,68,Female,1,4.0,2,3,4,4,Maybe,Rarely,33
CUST00099,58,Female,5,5.0,4,2,2,2,Maybe,Daily,44
CUST00100,59,Other,3,0.0,5,4,2,4,Maybe,Quarterly,7
