date,order_id,product,category,quantity,price,region,customer_type,payment_method,total_sale,discount_percent,shipping_cost
2023-01-01,ORD000593,Watch,Electronics,8,899,West,Returning,Debit Card,7192,10.0,10
2023-01-02,ORD000241,Camera,Accessories,3,1299,West,New,PayPal,3897,10.0,10
2023-01-02,ORD000190,Camera,Electronics,9,899,South,VIP,Debit Card,8091,0.0,999
2023-01-02,ORD000065,Camera,Wearables,3,999,East,New,Debit Card,2997,20.0,5
2023-01-05,ORD000119,Phone,Wearables,9,999,West,New,Bank Transfer,8991,15.0,15
2023-01-05,ORD000380,Camera,Accessories,4,999,North,New,Credit Card,3996,5.0,10
2023-01-08,ORD000635,Camera,Accessories,4,1299,South,Returning,Debit Card,5196,0.0,10
2023-01-09,ORD000544,Laptop,Accessories,8,899,East,Returning,PayPal,7192,,10
2023-01-09,ORD000248,Camera,Accessories,7,999,East,VIP,PayPal,6993,0.0,15
2023-01-12,ORD000629,Camera,Accessories,6,149,South,New,PayPal,894,0.0,10
2023-01-12,ORD000467,Laptop,Electronics,4,999,South,New,Bank Transfer,3996,5.0,10
2023-01-14,ORD000050,Laptop,Wearables,4,999,North,VIP,Bank Transfer,3996,5.0,5
2023-01-15,ORD000088,Phone,Accessories,7,149,North,VIP,PayPal,1043,0.0,0
2023-01-15,ORD000125,Tablet,Electronics,4,299,West,New,PayPal,1196,0.0,10
2023-01-16,ORD000448,Watch,Electronics,7,149,North,New,Bank Transfer,1043,0.0,5
2023-01-17,ORD000308,Watch,Accessories,3,299,East,New,PayPal,897,5.0,0
2023-01-18,ORD000332,Laptop,Electronics,1,999,South,VIP,Credit Card,999,0.0,10
2023-01-19,ORD000507,Phone,Wearables,8,899,East,New,Bank Transfer,7192,0.0,10
2023-01-20,ORD000354,Phone,Accessories,1,299,South,Returning,Debit Card,299,0.0,5
2023-01-21,ORD000006,Phone,Electronics,5,699,East,Returning,Debit Card,3495,5.0,10
2023-01-21,ORD000044,Phone,Electronics,5,149,East,VIP,Debit Card,745,15.0,10
2023-01-22,ORD000287,Laptop,Wearables,6,899,East,VIP,Bank Transfer,5394,5.0,5
2023-01-22,ORD000029,Laptop,Accessories,7,149,South,VIP,Bank Transfer,1043,0.0,10
2023-01-23,ORD000438,Watch,Wearables,6,899,West,New,PayPal,5394,0.0,0
2023-01-25,ORD000524,Camera,Accessories,8,1299,West,New,Credit Card,10392,20.0,15
2023-01-27,ORD000295,Headphones,Electronics,7,149,South,New,Credit Card,1043,0.0,5
2023-01-28,ORD000106,Headphones,Wearables,1,1299,North,New,Bank Transfer,1299,0.0,10
2023-01-28,ORD000147,Camera,Wearables,1,149,South,Returning,Debit Card,149,10.0,10
2023-01-29,ORD000558,Watch,Wearables,6,149,West,New,Bank Transfer,894,20.0,15
2023-02-02,ORD000283,Laptop,Electronics,3,149,West,New,PayPal,447,,5
2023-02-02,ORD000109,Phone,Accessories,5,1299,North,VIP,Credit Card,6495,0.0,15
2023-02-04,ORD000472,Headphones,Accessories,4,149,West,New,PayPal,596,0.0,15
2023-02-04,ORD000060,Phone,Wearables,5,149,East,New,Debit Card,745,10.0,5
2023-02-05,ORD000138,Phone,Electronics,9,149,East,Returning,Bank Transfer,1341,20.0,5
2023-02-05,ORD000353,Headphones,Electronics,4,699,North,VIP,Credit Card,2796,15.0,0
2023-02-06,ORD000246,Camera,Accessories,2,999,South,VIP,PayPal,1998,0.0,999
2023-02-06,ORD000317,Camera,Electronics,1,899,West,VIP,Credit Card,899,5.0,5
2023-02-06,ORD000497,Camera,Electronics,5,299,South,New,Credit Card,1495,10.0,999
2023-02-07,ORD000289,Camera,Electronics,7,999,North,VIP,Credit Card,6993,0.0,5
2023-02-08,ORD000581,Watch,Accessories,6,299,North,VIP,PayPal,1794,10.0,10
2023-02-08,ORD000347,Tablet,Wearables,7,699,South,Returning,PayPal,4893,10.0,5
