month,revenue,expenses,marketing_spend,customer_acquisition,churn_rate,employee_count,support_tickets,profit,profit_margin,cac
2022-01-31,165151,61217,25197.0,162,6.57326939434358,134,331,103934,62.93,155.54
2022-02-28,119776,84813,29134.0,301,5.879188554688968,100,620,34963,29.19,96.79
2022-03-31,140945,95822,15618.0,577,3.4733774265789816,128,584,45123,32.01,27.07
2022-04-30,163420,91603,8782.0,462,4.359579455374998,107,397,71817,43.95,19.01
2022-05-31,127455,77153,22642.0,501,7.899899661271925,64,246,50302,39.47,45.19
2022-06-30,-50000,54755,28439.0,549,6.629046620333581,114,402,108733,66.51,51.8
2022-07-31,-50000,64914,15789.0,258,8.415845906113116,137,460,67519,50.98,61.2
2022-08-31,-50000,75592,22002.0,525,7.102075179884617,104,223,14119,15.74,41.91
2022-09-30,139262,96006,27523.0,505,8.151846592861542,125,539,43256,31.06,54.5
2022-10-31,166009,66269,19981.0,298,3.7971314432228525,59,611,99740,60.08,67.05
2022-11-30,163785,78732,13007.0,516,7.128909248901555,91,460,85053,51.93,25.21
2022-12-31,89597,90138,28435.0,353,2.6213051208867846,144,485,-541,-0.6,80.55
2023-01-31,140067,64555,15575.0,456,6.524560130269204,60,712,75512,53.91,34.16
2023-02-28,167520,59874,27574.0,170,5.315693668721448,65,285,107646,64.26,162.2
2023-03-31,128022,97228,24184.0,209,4.580560431520412,122,629,30794,24.05,115.71
2023-04-30,161924,76535,,584,7.674426113758535,127,780,85389,52.73,33.04
2023-05-31,98782,86344,,170,7.625606155945184,68,230,12438,12.59,80.22
2023-06-30,131782,85036,,512,2.6338102293918615,80,639,46746,35.47,40.57
2023-07-31,152144,91158,,531,6.157030734696586,122,548,60986,40.08,42.45
2023-08-31,178651,47925,18908.0,394,4.7069933459257385,149,611,130726,73.17,47.99
2023-09-30,135013,43107,24962.0,539,4.993966009002695,102,5000,91906,68.07,46.31
2023-10-31,152036,60852,28866.0,222,7.492244435312656,139,509,91184,59.98,130.03
2023-11-30,115342,70183,20699.0,598,4.359038629166069,57,595,45159,39.15,34.61
2023-12-31,165745,92482,9865.0,225,8.158292863825721,73,537,73263,44.2,43.84
2024-01-31,100977,67617,29873.0,335,3.5778029582328443,57,636,33360,33.04,89.17
2024-02-29,137396,48722,9376.0,227,126.05774197040014,132,564,88674,64.54,41.3
2024-03-31,130021,90075,22255.0,539,140.59391572879935,97,312,39946,30.72,41.29
2024-04-30,149057,62631,21647.0,214,146.6070534874639,79,375,86426,57.98,101.15
2024-05-31,146836,97584,13408.0,491,4.448503653803212,107,348,49252,33.54,27.31
2024-06-30,107075,71622,16163.0,439,7.508790955479642,135,377,35453,33.11,36.82
2024-07-31,169515,91048,29442.0,205,7.070831529729714,104,581,78467,46.29,143.62
2024-08-31,110802,47883,14283.0,480,4.474575281888558,122,422,62919,56.79,29.76
2024-09-30,157761,59708,9976.0,408,5.703739281609604,111,458,98053,62.15,24.45
2024-10-31,157017,86221,14443.0,575,2.870081777518573,97,388,70796,45.09,25.12
